ภาคกลาง,สระแก้ว,บ้านอยู่อาศัย (น้อยกว่า 150 กิโลวัตต์-ชั่วโมงต่อเดือน),95291,95302,94736,93863,93464,94288,92464,90292,86718,89876
ภาคกลาง,สระแก้ว,บ้านอยู่อาศัย (150 และมากกว่า กิโลวัตต์-ชั่วโมงต่อเดือน),38904,42386,46793,51190,54359,56317,61231,67901,75418,75578
ภาคกลาง,ราชบุรี,บ้านอยู่อาศัย (น้อยกว่า 150 กิโลวัตต์-ชั่วโมงต่อเดือน),116037,114890,113096,110770,110137,111492,110207,107688,102052,105925
ภาคกลาง,ราชบุรี,บ้านอยู่อาศัย (150 และมากกว่า กิโลวัตต์-ชั่วโมงต่อเดือน),116867,124164,131792,140036,145789,149267,155873,166134,177095,177667
ภาคกลาง,กาญจนบุรี,บ้านอยู่อาศัย (น้อยกว่า 150 กิโลวัตต์-ชั่วโมงต่อเดือน),122628,122552,122206,122109,122717,124229,122633,119231,115581,119835
ภาคกลาง,กาญจนบุรี,บ้านอยู่อาศัย (150 และมากกว่า กิโลวัตต์-ชั่วโมงต่อเดือน),101672,109183,117137,123904,129317,132399,139743,149250,158855,158818
ภาคกลาง,สุพรรณบุรี,บ้านอยู่อาศัย (น้อยกว่า 150 กิโลวัตต์-ชั่วโมงต่อเดือน),122311,120918,118577,115136,113436,112834,108643,104122,99327,103488
ภาคกลาง,สุพรรณบุรี,บ้านอยู่อาศัย (150 และมากกว่า กิโลวัตต์-ชั่วโมงต่อเดือน),94780,101003,107893,114746,119713,123570,130224,139208,147538,146392
ภาคกลาง,นครปฐม,บ้านอยู่อาศัย (น้อยกว่า 150 กิโลวัตต์-ชั่วโมงต่อเดือน),92787,92065,90386,87921,87639,89403,87647,84821,81658,85540
ภาคกลาง,นครปฐม,บ้านอยู่อาศัย (150 และมากกว่า กิโลวัตต์-ชั่วโมงต่อเดือน),142713,151612,162275,172004,179411,185105,194033,204911,213781,216404
ภาคกลาง,สมุทรสาคร,บ้านอยู่อาศัย (น้อยกว่า 150 กิโลวัตต์-ชั่วโมงต่อเดือน),72288,71438,70429,68769,68400,69358,67634,65624,64494,66413
ภาคกลาง,สมุทรสาคร,บ้านอยู่อาศัย (150 และมากกว่า กิโลวัตต์-ชั่วโมงต่อเดือน),108378,115129,122630,129972,136778,141442,147922,156150,163431,166236
ภาคกลาง,สมุทรสงคราม,บ้านอยู่อาศัย (น้อยกว่า 150 กิโลวัตต์-ชั่วโมงต่อเดือน),26961,26994,26757,26071,26145,26545,26349,25754,24992,25893
